iter	Passed	Remaining
0	4	4800
1	8	4164
2	11	3777
3	14	3608
4	17	3499
5	20	3455
6	23	3398
7	27	3462
8	30	3410
9	34	3388
10	38	3500
11	42	3521
12	46	3534
13	50	3541
14	53	3539
15	57	3542
16	61	3548
17	66	3605
18	70	3618
19	73	3617
20	76	3585
21	79	3549
22	83	3553
23	86	3532
24	90	3524
25	93	3505
26	96	3491
27	99	3469
28	103	3449
29	106	3438
30	109	3419
31	112	3402
32	115	3381
33	118	3366
34	121	3349
35	124	3332
36	127	3311
37	130	3299
38	133	3281
39	136	3265
40	138	3249
41	142	3239
42	144	3223
43	147	3207
44	150	3193
45	153	3181
46	156	3168
47	159	3154
48	161	3141
49	164	3133
50	167	3122
51	170	3115
52	173	3102
53	176	3092
54	179	3085
55	182	3073
56	185	3063
57	187	3053
58	190	3044
59	193	3036
60	197	3037
61	200	3029
62	203	3020
63	205	3011
64	208	3004
65	211	2996
66	214	2989
67	216	2960
68	219	2959
69	223	2971
70	227	2973
71	231	2979
72	234	2974
73	237	2968
74	240	2963
75	243	2958
76	246	2952
77	249	2947
78	252	2941
79	255	2934
80	258	2934
81	261	2929
82	264	2924
83	267	2916
84	269	2897
85	272	2892
86	273	2873
87	276	2867
88	279	2861
89	282	2856
90	285	2849
91	288	2844
92	291	2843
93	294	2838
94	298	2839
95	301	2834
96	304	2833
97	307	2827
98	310	2821
99	312	2816
100	316	2816
101	317	2798
102	320	2795
103	324	2791
104	326	2786
105	330	2785
106	333	2780
107	335	2775
108	339	2771
109	341	2766
110	345	2763
111	348	2760
112	350	2755
113	353	2750
114	356	2745
115	358	2735
116	361	2730
117	365	2729
118	367	2719
119	370	2714
120	373	2710
121	376	2706
122	377	2692
123	381	2692
124	384	2690
125	387	2686
126	390	2682
127	391	2670
128	394	2665
129	398	2664
130	401	2665
131	405	2664
132	408	2661
133	411	2657
134	414	2652
135	417	2651
136	420	2647
137	422	2639
138	425	2637
139	431	2648
140	435	2650
141	439	2654
142	443	2657
143	449	2671
144	453	2675
145	456	2671
146	460	2674
147	466	2683
148	469	2682
149	473	2681
150	476	2678
151	479	2676
152	483	2676
153	486	2672
154	489	2670
155	493	2669
156	496	2666
157	500	2665
158	503	2662
159	506	2660
160	510	2660
161	513	2657
162	517	2657
163	521	2657
164	524	2654
165	528	2653
166	531	2649
167	534	2647
168	538	2648
169	541	2645
170	544	2641
171	548	2642
172	553	2644
173	557	2645
174	561	2646
175	564	2641
176	567	2638
177	570	2633
178	572	2627
179	575	2623
180	577	2611
181	579	2606
182	582	2601
183	585	2597
184	588	2594
185	591	2589
186	594	2585
187	597	2581
188	600	2576
189	603	2572
190	606	2568
191	609	2564
192	613	2564
193	616	2560
194	619	2556
195	622	2553
196	625	2548
197	628	2544
198	631	2540
199	634	2536
200	637	2533
201	640	2528
202	643	2525
203	647	2524
204	650	2520
205	652	2516
206	655	2512
207	658	2508
208	665	2517
209	668	2514
210	671	2510
211	674	2506
212	677	2502
213	680	2498
214	683	2494
215	686	2490
216	688	2485
217	691	2482
218	694	2478
219	697	2474
220	700	2470
221	703	2465
222	706	2462
223	709	2459
224	712	2454
225	715	2450
226	718	2446
227	721	2442
228	724	2437
229	726	2433
230	730	2432
231	733	2429
232	736	2425
233	739	2421
234	742	2417
235	745	2413
236	748	2411
237	751	2407
238	754	2403
239	757	2399
240	760	2394
241	763	2391
242	766	2388
243	769	2384
244	772	2381
245	775	2377
246	778	2373
247	781	2370
248	784	2366
249	787	2361
250	790	2358
251	793	2354
252	796	2350
253	799	2346
254	803	2347
255	806	2343
256	809	2340
257	812	2336
258	815	2333
259	818	2329
260	821	2325
261	825	2323
262	827	2320
263	831	2316
264	834	2313
265	837	2312
266	841	2310
267	844	2306
268	847	2302
269	850	2298
270	853	2295
271	857	2295
272	860	2291
273	863	2288
274	868	2288
275	872	2289
276	876	2286
277	882	2291
278	887	2294
279	891	2293
280	895	2291
281	898	2287
282	901	2284
283	905	2281
284	907	2277
285	912	2277
286	915	2274
287	918	2270
288	921	2266
289	924	2262
290	927	2259
291	930	2255
292	933	2251
293	936	2247
294	938	2243
295	942	2240
296	945	2238
297	949	2236
298	953	2234
299	957	2233
300	961	2231
301	965	2230
302	968	2228
303	972	2226
304	976	2224
305	979	2222
306	983	2219
307	986	2216
308	989	2213
309	992	2209
310	995	2205
