iter	Passed	Remaining
0	1	1031
1	1	757
2	2	724
3	2	658
4	3	626
5	3	623
6	4	613
7	4	610
8	5	604
9	6	600
10	6	601
11	8	680
12	8	673
13	9	662
14	10	658
15	10	649
16	11	643
17	11	635
18	12	646
19	13	655
20	14	658
21	14	657
22	15	647
23	15	642
24	16	634
25	16	631
26	17	624
27	17	620
28	18	616
29	18	614
30	19	607
31	20	626
32	21	631
33	22	628
34	22	625
35	23	622
36	24	638
37	25	635
38	27	674
39	28	672
40	28	674
41	29	673
42	30	671
43	30	668
44	31	664
45	31	661
46	32	657
47	32	654
48	33	650
49	34	647
50	34	645
51	35	650
52	36	648
53	36	644
54	37	641
55	37	638
56	38	635
57	39	634
58	39	632
59	40	635
60	41	635
61	41	633
62	42	631
63	42	628
64	43	626
65	44	625
66	44	623
67	45	620
68	46	626
69	47	626
70	47	626
71	48	625
72	49	622
73	49	620
74	50	617
75	50	615
76	51	612
77	53	634
78	54	631
79	54	630
80	55	629
81	56	630
82	56	625
83	57	625
84	57	622
85	58	620
86	58	618
87	60	624
88	61	625
89	62	632
90	63	631
91	63	630
92	64	632
93	65	631
94	66	630
95	66	628
96	67	626
97	67	624
98	68	622
99	68	619
100	69	618
101	70	616
102	70	613
103	71	612
104	71	610
105	72	607
106	72	607
107	73	606
108	74	605
109	74	604
110	75	602
111	75	601
112	76	599
113	77	599
114	78	601
115	78	600
116	79	598
117	79	596
118	80	594
119	80	593
120	81	591
121	81	590
122	82	588
123	83	588
124	84	588
125	84	589
126	85	589
127	86	587
128	86	587
129	87	586
130	88	584
131	88	583
132	89	582
133	90	582
134	91	583
135	92	585
136	92	584
137	93	583
138	94	582
139	94	581
140	95	579
141	95	577
142	96	575
143	96	574
144	97	572
145	97	571
146	98	570
147	99	570
148	99	568
149	100	567
150	100	565
151	101	565
152	103	575
153	104	574
154	105	573
155	105	572
156	106	571
157	107	570
158	107	569
159	108	568
160	108	565
161	109	564
162	109	563
163	110	562
164	110	561
165	112	564
166	113	564
167	113	562
168	114	561
169	114	560
170	116	564
171	117	564
172	117	563
173	118	562
174	118	560
175	119	559
176	119	557
177	120	557
178	121	556
179	121	555
180	122	554
181	123	553
182	123	551
183	124	550
184	124	549
185	125	548
186	125	547
187	126	546
188	126	544
189	127	543
190	127	541
191	128	540
192	129	539
193	130	540
194	130	539
195	131	539
196	132	538
197	132	537
198	133	535
199	133	534
200	134	533
201	134	532
202	135	531
203	135	530
204	136	529
205	136	527
206	137	527
207	138	526
208	138	525
209	139	524
210	140	523
211	140	523
212	141	522
213	143	527
214	144	527
215	145	526
216	145	526
217	146	525
218	147	525
219	147	524
220	148	523
221	149	522
222	149	521
223	150	520
224	150	519
225	151	517
226	151	517
227	152	516
228	153	515
229	153	514
230	154	513
231	154	512
232	155	510
233	155	509
234	156	508
235	156	507
236	157	506
237	157	505
238	158	504
239	159	503
240	159	502
241	160	501
242	160	500
243	161	499
244	161	498
245	162	497
246	162	496
247	163	494
248	163	493
249	164	492
250	164	491
251	165	490
252	165	489
253	166	488
254	166	487
255	167	486
256	168	485
257	168	484
258	169	483
259	169	482
260	169	481
261	170	480
262	170	479
263	171	477
264	171	476
265	172	476
266	173	474
267	173	473
268	174	473
269	174	472
270	175	471
271	175	470
272	176	471
273	177	470
274	177	468
275	178	467
276	178	466
277	179	466
278	180	465
279	180	464
280	181	464
281	182	463
282	182	462
283	183	462
284	183	461
285	184	460
286	185	459
287	185	459
288	186	458
289	186	457
290	187	456
291	187	455
292	188	455
293	189	454
294	189	453
295	190	452
296	190	451
297	191	450
298	191	449
299	192	448
300	193	448
301	193	447
302	194	446
303	194	445
304	195	444
305	195	444
306	196	443
307	197	442
308	197	442
309	198	441
310	198	440
311	199	439
312	199	438
313	200	437
314	200	436
315	201	435
316	201	434
317	202	434
318	202	433
319	203	432
320	203	431
321	204	430
322	205	429
323	205	429
324	206	428
325	206	427
326	207	426
327	207	425
328	208	424
329	208	423
330	209	422
331	209	421
332	210	420
333	210	419
334	211	419
335	211	418
336	212	417
337	212	416
338	213	415
339	213	414
340	214	413
341	214	412
342	215	411
343	215	411
344	216	410
345	216	409
346	217	408
347	217	407
348	218	406
349	218	406
350	219	405
351	220	405
352	221	405
353	221	404
354	222	403
355	222	402
356	223	402
357	224	402
358	225	401
359	225	400
360	226	400
361	226	399
362	227	398
363	227	398
364	228	397
365	228	396
366	229	395
367	230	395
368	231	395
369	232	396
370	233	395
371	234	395
372	234	394
373	235	393
374	235	392
375	236	392
376	237	391
377	237	390
378	238	390
379	238	389
380	239	388
381	239	387
382	240	387
383	240	386
384	241	385
385	241	384
386	242	384
387	243	383
388	243	383
389	244	382
390	245	381
391	245	381
392	246	380
393	246	379
394	247	378
395	247	377
396	248	377
397	248	376
398	249	375
399	250	375
400	250	374
401	251	373
402	251	372
403	252	372
404	252	371
405	253	370
406	254	370
407	254	369
408	255	369
409	256	368
410	256	367
411	257	367
412	257	366
413	258	365
414	258	365
415	259	364
416	260	363
417	260	362
418	261	362
419	261	361
420	262	361
421	263	360
422	263	359
423	264	359
424	265	358
425	265	358
426	266	358
427	267	357
428	268	357
429	268	356
430	269	355
431	270	355
432	271	355
433	272	355
434	272	354
435	273	353
436	273	352
437	274	351
438	274	350
439	275	350
440	276	350
441	276	349
442	277	348
443	277	347
444	278	346
445	278	346
446	279	345
447	279	344
448	280	343
449	281	344
450	282	343
451	283	343
452	283	342
453	284	341
454	285	341
455	285	340
456	285	339
457	286	338
458	286	338
459	287	337
460	287	336
461	288	335
462	288	334
463	288	333
464	289	332
465	289	332
466	290	331
467	290	330
468	291	329
469	291	329
470	292	328
471	292	327
472	293	326
473	293	325
474	294	325
475	294	324
476	294	323
477	295	322
478	295	321
479	296	321
480	297	320
481	297	319
482	298	319
483	298	318
484	299	317
485	299	317
486	300	316
487	300	315
488	301	314
489	301	313
490	302	313
491	302	312
492	302	311
493	303	310
494	303	309
495	304	309
496	304	308
497	305	307
498	305	306
499	306	306
500	306	305
501	307	304
502	307	304
503	308	303
504	308	302
505	309	301
506	309	300
507	309	300
508	310	299
509	311	298
510	311	298
511	312	298
512	313	297
513	313	296
514	314	296
515	314	295
516	315	294
517	315	293
518	316	293
519	316	292
520	317	291
521	317	290
522	318	290
523	318	289
524	318	288
525	319	287
526	319	287
527	320	286
528	320	285
529	321	285
530	321	284
531	322	283
532	322	282
533	323	282
534	323	281
535	324	280
536	324	279
537	325	279
538	325	278
539	326	278
540	327	277
541	327	276
542	328	276
543	328	275
544	328	274
545	329	273
546	329	273
547	330	272
548	330	271
549	331	270
550	331	270
551	332	269
552	333	269
553	333	268
554	334	268
555	335	267
556	336	267
557	336	266
558	337	265
559	337	265
560	338	264
561	338	263
562	338	263
563	340	263
564	341	262
565	341	262
566	342	261
567	342	260
568	343	260
569	343	259
570	344	258
571	344	258
572	345	257
573	345	256
574	346	255
575	346	255
576	346	254
577	347	253
578	347	252
579	348	252
580	348	251
581	349	250
582	349	250
583	350	249
584	350	248
585	351	248
586	351	247
587	352	246
588	352	246
589	353	245
590	353	244
591	354	243
592	354	243
593	355	242
594	355	242
595	356	241
596	357	241
597	357	240
598	358	239
599	359	239
600	360	239
601	360	238
602	361	238
603	362	237
604	362	236
605	363	236
606	363	235
607	364	235
608	365	234
609	365	233
610	366	233
611	366	232
612	367	231
613	367	231
614	368	230
615	369	230
616	369	229
617	370	228
618	371	228
619	371	227
620	372	227
621	373	226
622	373	226
623	374	225
624	374	224
625	375	224
626	375	223
627	376	222
628	376	222
629	377	221
630	377	220
631	378	220
632	379	220
633	380	219
634	380	218
635	381	218
636	381	217
637	382	216
638	383	216
639	384	216
640	384	215
641	386	215
642	387	215
643	388	214
644	388	213
645	389	213
646	389	212
647	390	212
648	390	211
649	391	210
650	391	210
651	392	209
652	393	209
653	393	208
654	394	207
655	395	207
656	395	206
657	396	205
658	396	205
659	397	204
660	397	203
661	398	203
662	399	202
663	399	202
664	401	202
665	401	201
666	402	200
667	403	200
668	403	199
669	404	199
670	404	198
671	405	197
672	405	197
673	406	196
674	406	195
675	407	195
676	407	194
677	408	193
